file_id,12
date,2024-04-09
instrument,qwe
sample,qwe
spring_constant,122
inv_ols,23
tip_geometry,12
tip_radius,123
sampling_rate,23
velocity,2
geometry,approach
parameter,force
unit,N
value,1.07171586320023e-12
curve_id,0
file_id,12
date,2024-04-09
instrument,qwe
sample,qwe
spring_constant,122.0
inv_ols,23.0
tip_geometry,12
tip_radius,123.0
segment_type,approach
sampling_rate,23.0
velocity,2.0
no_points,2000
index,Z (m),Force (N)
0,-2.2858556285e-06,-1.07171586320023e-12
1,-2.2846959982e-06,-1.2937054109022997e-13
2,-2.2836696158e-06,-2.1147591224022998e-13
3,-2.2825070718e-06,-1.12201192980023e-12
4,-2.2813938341e-06,-5.8909562557023e-13
5,-2.2802763696e-06,4.1253537567977e-13
6,-2.2790725524e-06,-9.3035037235023e-13
7,-2.2779017087e-06,1.08576436619977e-12
8,-2.2768207878e-06,8.6675301409977e-13
9,-2.2756802911e-06,-2.3177252454023003e-13
10,-2.2745185371e-06,-4.6272012494023e-13
11,-2.2734031655e-06,4.2078133084977e-13
12,-2.2722866448e-06,-5.8042124587023e-13
13,-2.2711313645e-06,1.6820924550977002e-13
14,-2.2700571429e-06,8.7156305318977e-13
15,-2.2689236328e-06,1.8721328151977003e-13
16,-2.2676679446e-06,-9.8268875819023e-13
17,-2.266579637e-06,-1.67629347350023e-12
18,-2.2654895751e-06,-8.9491406465023e-13
19,-2.264193219e-06,3.2843758702976997e-13
20,-2.2631407471e-06,4.2167104202977e-13
21,-2.2620707627e-06,-3.2128890986023e-13
22,-2.2609629624e-06,-1.35805072290023e-12
23,-2.2597099006e-06,-1.32980756580023e-12
24,-2.2585564772e-06,-1.5993830297229992e-14
25,-2.2574960646e-06,-1.4447007168023e-13
26,-2.2563703106e-06,-2.7290006270023003e-13
27,-2.2552048017e-06,1.9045202494977e-13
28,-2.2541395878e-06,-9.6120302438023e-13
29,-2.2529134977e-06,4.1042854934976997e-13
30,-2.2517534057e-06,-4.2012109456023003e-13
31,-2.2506099236e-06,-9.9425256926023e-13
32,-2.2494378077e-06,1.0631650571977e-13
33,-2.2483233594e-06,2.5386129021977e-13
34,-2.2471897467e-06,4.3469052282977e-13
35,-2.2459679245e-06,5.5387539232770013e-14
36,-2.2449161913e-06,-4.1978638790023e-13
37,-2.2437196583e-06,-5.2909063138023e-13
38,-2.2427063155e-06,-5.2720653713023e-13
39,-2.2415942986e-06,6.1191709457977e-13
40,-2.2403997559e-06,1.5985495857997699e-12
41,-2.2394659022e-06,8.081916036777001e-14
42,-2.2382431874e-06,-4.5332643019023003e-13
43,-2.2370376057e-06,5.9318812658977e-13
44,-2.2359654873e-06,6.3688986329977e-13
45,-2.2347636399e-06,1.2878931991977001e-13
46,-2.2336841348e-06,-4.1397953150023e-13
47,-2.2324975225e-06,-1.0578406653023e-13
48,-2.2313202565e-06,1.13291175589977e-12
49,-2.2302034383e-06,6.6469485897977e-13
50,-2.2290649524e-06,-4.2402681709023003e-13
51,-2.2279396908e-06,2.8847361095976996e-13
52,-2.2268066936e-06,-4.4725302557023003e-13
53,-2.2255963516e-06,5.107796937697699e-13
54,-2.2245476654e-06,7.8135778068977e-13
55,-2.2235051041e-06,-5.0706571556023e-13
56,-2.2224641022e-06,-6.9249686057023e-13
57,-2.2213085756e-06,-1.2731118225023e-13
58,-2.2201836321e-06,1.48566580659977e-12
59,-2.2189825541e-06,6.5703190197977e-13
60,-2.2178090225e-06,6.945252194777001e-14
61,-2.2167468761e-06,6.4418160017977e-13
62,-2.2155621208e-06,1.8357775855977002e-13
63,-2.2144857858e-06,-1.2593097366023e-13
64,-2.2134356839e-06,8.050271042777e-14
65,-2.2122197608e-06,9.7039036942977e-13
66,-2.2110796437e-06,7.5050756288977e-13
67,-2.2100266384e-06,-1.43903634810023e-12
68,-2.2088499058e-06,-1.57913603920023e-12
69,-2.2075946895e-06,1.04081386929977e-12
70,-2.2064733162e-06,1.21700832739977e-12
71,-2.2053111928e-06,1.42998278839977e-12
72,-2.2041738765e-06,1.1754000287997699e-12
73,-2.203031051e-06,8.079846940977001e-14
74,-2.2018866352e-06,-1.2949542562002301e-12
75,-2.2008066069e-06,-8.578163947702301e-13
76,-2.1996896553e-06,1.49203983869977e-12
77,-2.198495841e-06,7.3968010647977e-13
78,-2.1973940732e-06,-1.13324103420023e-12
79,-2.1962939982e-06,-1.40735849200023e-12
80,-2.1951844846e-06,-9.461825210722999e-14
81,-2.1939994933e-06,1.86044720739977e-12
82,-2.1928819877e-06,5.1815054313977e-13
83,-2.1917113595e-06,-1.04996236410023e-12
84,-2.1906153061e-06,-3.3640669718023004e-13
85,-2.1894719368e-06,1.0838560147977e-13
86,-2.1883005596e-06,-8.057043923502301e-13
87,-2.1871499883e-06,-1.2861592969022997e-13
88,-2.1860558534e-06,1.3280518284997699e-12
89,-2.1849789747e-06,-1.1197187997023e-13
90,-2.1838775762e-06,-9.9319733042023e-13
91,-2.182835456e-06,4.4190801568977e-13
92,-2.1816629606e-06,1.04345866059977e-12
93,-2.1804073852e-06,7.3825851597977e-13
94,-2.1792770452e-06,-8.1809340750023e-13
95,-2.1782818306e-06,-4.9327458376023e-13
96,-2.1770826301e-06,8.9040156152977e-13
97,-2.175968346e-06,5.307988890177001e-14
98,-2.1747631336e-06,2.378027580777001e-14
99,-2.1736947701e-06,-2.4782749053023004e-13
100,-2.1724517726e-06,-3.5639172800023e-13
101,-2.1714251235e-06,2.6452078473977e-13
102,-2.1702741008e-06,1.4779335592977002e-13
103,-2.1691263713e-06,1.26496996719977e-12
104,-2.1679067343e-06,-5.722482324223e-14
105,-2.166655437e-06,-6.5969195583023e-13
106,-2.1655553723e-06,-3.2682800092023004e-13
107,-2.1645249887e-06,-6.6283454716023e-13
108,-2.1633184529e-06,-3.2819360413023003e-13
109,-2.1620354133e-06,4.832388120697699e-13
110,-2.1610838008e-06,1.6959067120977e-13
111,-2.1600675956e-06,3.5061716166770015e-14
112,-2.1589270477e-06,7.5927931179977e-13
113,-2.1578333539e-06,5.5025195531977e-13
114,-2.1566530409e-06,-7.6177992357023e-13
115,-2.1555593471e-06,1.0524105424997699e-12
116,-2.1543845023e-06,8.9707865526977e-13
117,-2.153208929e-06,-1.08881876540023e-12
118,-2.1520524996e-06,-1.02851436080023e-12
119,-2.1508920588e-06,8.359296580277e-14
120,-2.1498620549e-06,-3.0299323487023e-13
121,-2.1486666606e-06,-7.4536955995023e-13
122,-2.1475237838e-06,6.3506419056977e-13
123,-2.1464618837e-06,4.4396250606977e-13
124,-2.1452146286e-06,-2.5220910508023003e-13
125,-2.144140407e-06,3.5775667396977e-13
126,-2.1430610558e-06,1.4710690297977002e-13
127,-2.1418021359e-06,-4.4374286547023e-13
128,-2.140702379e-06,4.3583947952976997e-13
129,-2.1397096061e-06,5.860643515997699e-13
130,-2.1385411015e-06,-8.3191861853023e-13
131,-2.1374793655e-06,-3.0248691497023004e-13
132,-2.1363120715e-06,1.01036286529977e-12
133,-2.1351911496e-06,-3.6181154178023e-13
134,-2.1340607583e-06,-2.9964008262023e-13
135,-2.1329494288e-06,3.7620205411977e-13
136,-2.1317591334e-06,9.2541553026977e-13
137,-2.1306580017e-06,1.3767069438770011e-14
138,-2.1293813127e-06,-1.22090497030023e-12
139,-2.1282570667e-06,-7.5764660051023e-13
140,-2.1270777693e-06,9.796466153677001e-14
141,-2.1260181058e-06,8.7493567927977e-13
142,-2.1249055862e-06,1.0281251638770011e-14
143,-2.1236856209e-06,-1.04315625610023e-12
144,-2.1226502719e-06,4.3608655390977e-13
145,-2.1214824341e-06,4.989286435197699e-13
146,-2.1204024058e-06,-2.8804584367023e-13
147,-2.1190919226e-06,-2.3552489056023004e-13
148,-2.1179625367e-06,2.3728539893977e-13
149,-2.1167792998e-06,-5.4513951180023e-13
150,-2.1156219265e-06,-4.3483723389023e-13
151,-2.1144542119e-06,2.2666776466997703e-12
152,-2.1134298095e-06,2.6155832644977e-13
153,-2.1122464802e-06,6.122847485477001e-14
154,-2.1111801276e-06,3.1727907529977e-13
155,-2.110078647e-06,-2.5689499843023e-13
156,-2.1089682101e-06,-4.783527519702301e-13
157,-2.1078050198e-06,-5.0658130373023e-13
158,-2.1067640077e-06,2.7047098076700107e-15
159,-2.1056586389e-06,6.705564855597699e-13
160,-2.1044996138e-06,-6.6169654449023e-13
161,-2.1033532283e-06,-3.9794282223023003e-13
162,-2.102207684e-06,-9.4598421650023e-13
