# file_id: 12
# date: 2024-04-09
# instrument: qwe
# sample: qwe
# spring_constant: 122
# inv_ols: 23
# tip_geometry: 12
# tip_radius: 123
# sampling_rate: 23
# velocity: 2
# geometry: approach
# parameter: force
# unit: N
# value: 1.07171586320023e-12
# curve_id: 0
# file_id: file_0
# date: 2025-05-20
# instrument: unknown
# sample: unknown
# spring_constant: 0.1
# inv_ols: 2.2e-08
# tip_geometry: pyramid
# tip_radius: 1e-06
# segment_type: approach
# sampling_rate: 100000.0
# velocity: 1e-06
# no_points: 2000
# Index	Z (m)	Force (N)
0	-1.07171586320023e-12	-5.613106681400014e-08
1	-1.2937054109023e-13	-5.4971436514000156e-08
2	-2.1147591224022998e-13	-5.394505411400001e-08
3	-1.12201192980023e-12	-5.278251011399984e-08
4	-5.8909562557023e-13	-5.166927241400003e-08
5	4.1253537567977e-13	-5.0551807914000176e-08
6	-9.3035037235023e-13	-4.934799071400017e-08
7	1.08576436619977e-12	-4.817714701399998e-08
8	8.6675301409977e-13	-4.709622611399983e-08
9	-2.3177252454023003e-13	-4.595572941400013e-08
10	-4.6272012494023e-13	-4.479397541400008e-08
11	4.2078133084977e-13	-4.36786038139998e-08
12	-5.8042124587023e-13	-4.256208311399983e-08
13	1.6820924550977e-13	-4.140680281400017e-08
14	8.7156305318977e-13	-4.033258121399987e-08
15	1.8721328151977e-13	-3.919907111399992e-08
16	-9.8268875819023e-13	-3.7943382914000114e-08
17	-1.67629347350023e-12	-3.685507531400018e-08
18	-8.9491406465023e-13	-3.576501341400001e-08
19	3.2843758702976997e-13	-3.446865731399993e-08
20	4.2167104202977e-13	-3.3416185413999955e-08
21	-3.2128890986023e-13	-3.2346201013999825e-08
22	-1.35805072290023e-12	-3.1238400714000024e-08
23	-1.32980756580023e-12	-2.998533891400009e-08
24	-1.5993830297230005e-14	-2.8831915513999993e-08
25	-1.4447007168023e-13	-2.7771502914000132e-08
26	-2.7290006270023003e-13	-2.66457489139998e-08
27	1.9045202494977e-13	-2.5480240013999857e-08
28	-9.6120302438023e-13	-2.441502611400004e-08
29	4.1042854934976997e-13	-2.31889360140001e-08
30	-4.2012109456023003e-13	-2.2028844013999934e-08
31	-9.9425256926023e-13	-2.0885361913999806e-08
32	1.0631650571976999e-13	-1.971324601399993e-08
33	2.5386129021977e-13	-1.8598797714000154e-08
34	4.3469052282977e-13	-1.746518501400002e-08
35	5.538753923277e-14	-1.624336281400003e-08
36	-4.1978638790023e-13	-1.519162961399987e-08
37	-5.2909063138023e-13	-1.3995096614000177e-08
38	-5.2720653713023e-13	-1.2981753814000025e-08
39	6.1191709457977e-13	-1.1869736914000153e-08
40	1.5985495857997699e-12	-1.0675194213999858e-08
41	8.081916036777e-14	-9.741340513999817e-09
42	-4.5332643019023003e-13	-8.518625713999957e-09
43	5.9318812658977e-13	-7.313044014000171e-09
44	6.3688986329977e-13	-6.240925614000135e-09
45	1.2878931991977001e-13	-5.039078214000141e-09
46	-4.1397953150023e-13	-3.959573113999896e-09
47	-1.0578406653023001e-13	-2.7729608140000788e-09
48	1.13291175589977e-12	-1.595694814000082e-09
49	6.6469485897977e-13	-4.788766139998296e-10
50	-4.2402681709023003e-13	6.596092859998141e-10
51	2.8847361095976996e-13	1.7848708860001804e-09
52	-4.4725302557023003e-13	2.9178680859999357e-09
53	5.107796937697699e-13	4.1282100860000606e-09
54	7.8135778068977e-13	5.176896286000075e-09
55	-5.0706571556023e-13	6.219457585999862e-09
56	-6.9249686057023e-13	7.260459485999943e-09
57	-1.2731118225023e-13	8.415986085999875e-09
58	1.48566580659977e-12	9.54092958599986e-09
59	6.5703190197977e-13	1.0742007585999838e-08
60	6.945252194777e-14	1.191553918600018e-08
61	6.4418160017977e-13	1.297768558600004e-08
62	1.8357775855977002e-13	1.4162440886000004e-08
63	-1.2593097366023e-13	1.523877588600011e-08
64	8.050271042776999e-14	1.6288877786000165e-08
65	9.7039036942977e-13	1.7504800885999963e-08
66	7.5050756288977e-13	1.864491798599985e-08
67	-1.43903634810023e-12	1.9697923285999828e-08
68	-1.57913603920023e-12	2.0874655885999817e-08
69	1.04081386929977e-12	2.212987218599989e-08
70	1.21700832739977e-12	2.325124548600012e-08
71	1.42998278839977e-12	2.441336888600001e-08
72	1.1754000287997699e-12	2.5550685186000154e-08
73	8.079846940977e-14	2.6693510685999996e-08
74	-1.2949542562002301e-12	2.78379264859999e-08
75	-8.578163947702301e-13	2.891795478600018e-08
76	1.49203983869977e-12	3.0034906385999836e-08
77	7.3968010647977e-13	3.1228720686000157e-08
78	-1.13324103420023e-12	3.233048848599994e-08
79	-1.40735849200023e-12	3.343056348600019e-08
80	-9.461825210723e-14	3.454007708600018e-08
81	1.86044720739977e-12	3.572506838600015e-08
82	5.1815054313977e-13	3.684257398599991e-08
83	-1.04996236410023e-12	3.801320218599991e-08
84	-3.3640669718023004e-13	3.910925558600005e-08
85	1.0838560147976999e-13	4.0252624886000025e-08
86	-8.057043923502301e-13	4.142400208600009e-08
87	-1.2861592969023e-13	4.257457338600014e-08
88	1.3280518284997699e-12	4.366870828600016e-08
89	-1.1197187997023001e-13	4.474558698600011e-08
90	-9.9319733042023e-13	4.5846985485999916e-08
91	4.4190801568977e-13	4.688910568600004e-08
92	1.04345866059977e-12	4.806160108599986e-08
93	7.3825851597977e-13	4.931717648599994e-08
94	-8.1809340750023e-13	5.0447516486000176e-08
95	-4.9327458376023e-13	5.1442731086000066e-08
96	8.9040156152977e-13	5.2641931585999955e-08
97	5.307988890177e-14	5.3756215685999835e-08
98	2.3780275807769997e-14	5.496142808600007e-08
99	-2.4782749053023004e-13	5.6029791585999795e-08
100	-3.5639172800023e-13	5.727278908600006e-08
101	2.6452078473977e-13	5.8299438186e-08
102	1.4779335592977e-13	5.945046088599997e-08
103	1.26496996719977e-12	6.059819038599982e-08
104	-5.722482324223001e-14	6.181782738599989e-08
105	-6.5969195583023e-13	6.306912468600004e-08
106	-3.2682800092023004e-13	6.416918938600003e-08
107	-6.6283454716023e-13	6.519957298599991e-08
108	-3.2819360413023003e-13	6.640610878599984e-08
109	4.832388120697699e-13	6.768914838600017e-08
110	1.6959067120977e-13	6.864076088600021e-08
111	3.506171616677e-14	6.965696608599982e-08
112	7.5927931179977e-13	7.079751398599996e-08
113	5.5025195531977e-13	7.189120778599988e-08
114	-7.6177992357023e-13	7.307152078600003e-08
115	1.0524105424997699e-12	7.416521458599996e-08
116	8.9707865526977e-13	7.534005938600002e-08
117	-1.08881876540023e-12	7.651563268599992e-08
118	-1.02851436080023e-12	7.767206208600012e-08
119	8.359296580276999e-14	7.883250288600003e-08
120	-3.0299323487023e-13	7.986250678599982e-08
121	-7.4536955995023e-13	8.105790108599994e-08
122	6.3506419056977e-13	8.220077788600008e-08
123	4.4396250606977e-13	8.32626779860001e-08
124	-2.5220910508023003e-13	8.450993308600005e-08
125	3.5775667396977e-13	8.558415468599992e-08
126	1.4710690297977e-13	8.666350588600011e-08
127	-4.4374286547023e-13	8.792242578600019e-08
128	4.3583947952976997e-13	8.902218268600006e-08
129	5.860643515997699e-13	9.001495558600021e-08
130	-8.3191861853023e-13	9.1183460186e-08
131	-3.0248691497023004e-13	9.224519618599998e-08
132	1.01036286529977e-12	9.34124901859998e-08
133	-3.6181154178023e-13	9.45334120860001e-08
134	-2.9964008262023e-13	9.56638033859998e-08
135	3.7620205411977e-13	9.677513288600016e-08
136	9.2541553026977e-13	9.796542828600018e-08
137	1.3767069438769999e-14	9.906655998599991e-08
138	-1.22090497030023e-12	1.0034324898599983e-07
139	-7.5764660051023e-13	1.014674949860002e-07
140	9.796466153677e-14	1.0264679238599992e-07
141	8.7493567927977e-13	1.0370645588599985e-07
142	1.0281251638769999e-14	1.0481897548599995e-07
143	-1.04315625610023e-12	1.0603894078599994e-07
144	4.3608655390977e-13	1.0707428978599982e-07
145	4.989286435197699e-13	1.0824212758600019e-07
146	-2.8804584367023e-13	1.0932215588600005e-07
147	-2.3552489056023004e-13	1.106326390860001e-07
148	2.3728539893977e-13	1.1176202498600019e-07
149	-5.4513951180023e-13	1.1294526188600007e-07
150	-4.3483723389023e-13	1.1410263518600002e-07
151	2.2666776466997703e-12	1.1527034978600012e-07
152	2.6155832644977e-13	1.1629475218599986e-07
153	6.122847485477e-14	1.1747808148599994e-07
154	3.1727907529977e-13	1.1854443408600017e-07
155	-2.5689499843023e-13	1.1964591468599993e-07
156	-4.783527519702301e-13	1.20756351586e-07
157	-5.0658130373023e-13	1.219195418860002e-07
158	2.704709807669998e-15	1.2296055398599982e-07
159	6.705564855597699e-13	1.2406592278599986e-07
160	-6.6169654449023e-13	1.2522494788600015e-07
161	-3.9794282223023003e-13	1.263713333860002e-07
162	-9.4598421650023e-13	1.2751687768600012e-07
163	1.7015176129977001e-13	1.286568305860001e-07
164	1.81958621749977e-12	1.2984245798600013e-07
165	1.15745244869977e-12	1.3102430998600004e-07
166	2.7674670644977e-13	1.3209797748599994e-07
167	-6.3939169218023e-13	1.3323542718599991e-07
168	-1.32872798460023e-12	1.3436224818599999e-07
169	4.1845298955977e-13	1.356216400860001e-07
170	1.3233914945997699e-12	1.3664553968600017e-07
171	3.2451360776977e-13	1.3788867048599997e-07
172	-4.7312402527023e-13	1.390090281860002e-07
173	-4.0338576120023e-13	1.4011277598599996e-07
174	-9.1881090358023e-13	1.4119704138600012e-07
175	-4.6257407112023e-13	1.4230387728599994e-07
176	-4.212407553123e-14	1.4357870938599987e-07
177	1.64272964879977e-12	1.4468931048599984e-07
178	1.02276526869977e-12	1.457835376860002e-07
179	-5.4676314342023e-13	1.4700995608600007e-07
180	-6.6788070658023e-13	1.4814683128600012e-07
181	-8.4702545182023e-13	1.4921009588600017e-07
182	4.619113032397699e-13	1.5031405918600013e-07
183	7.6041974869977e-13	1.5154120598599997e-07
184	-2.8974980488023004e-13	1.5259544238600015e-07
185	-1.02074794900023e-12	1.5368435528600007e-07
186	-4.1390041901023e-13	1.5483771708600003e-07
187	1.66617493799977e-12	1.5600566768600014e-07
188	2.0198297390977e-13	1.570799918860002e-07
189	-1.40247542600023e-12	1.5832048608600015e-07
190	1.40886827469977e-12	1.59292278686e-07
191	1.11587579509977e-12	1.6037878058599995e-07
192	-8.1293770771023e-13	1.615991152860002e-07
193	-1.31455954710023e-12	1.627305221859999e-07
194	-1.92609175340023e-12	1.6383962538600001e-07
195	-2.1141870783023e-13	1.6499501858600012e-07
196	1.92942720879977e-12	1.660601914859999e-07
197	1.54848233679977e-12	1.6724658828599994e-07
198	2.7675044299769998e-14	1.6828840068599994e-07
199	3.2295326614977e-13	1.6948416428600004e-07
200	1.13597158339977e-12	1.7057621648600002e-07
201	-2.3186867664023003e-13	1.7174016598599984e-07
202	-4.0855606637023003e-13	1.7283285428599988e-07
203	5.359788459097699e-13	1.740768263860001e-07
204	7.2516600827977e-13	1.7517456228599994e-07
205	7.729439488277e-14	1.7628505048599989e-07
206	-1.66327520980023e-12	1.7734286738600008e-07
207	-7.2755829680023e-13	1.7843096978600008e-07
208	2.8871094840977e-13	1.795242633860001e-07
209	1.8937487803977e-13	1.8085264908599982e-07
210	-7.0376856400023e-13	1.8180739068599996e-07
211	-1.18594942310023e-12	1.8291801228600016e-07
212	-3.199889456823e-14	1.8403499468599989e-07
213	9.700081952697699e-13	1.8519769248599983e-07
214	-5.252688898002301e-13	1.863504490860001e-07
215	-1.45499029360023e-12	1.8751627598600013e-07
216	-2.2916789811023003e-13	1.8874162738599983e-07
217	1.2140921194997699e-12	1.8986756618600015e-07
218	9.1044136253977e-13	1.9104879228599998e-07
219	-2.0046345433023e-13	1.9214772848599995e-07
220	-2.2108747061023e-13	1.9326214608599994e-07
221	1.1905726714977e-13	1.9446962578600005e-07
222	1.09409795359977e-12	1.955875519860001e-07
223	-2.7860103008023003e-13	1.9678560338599986e-07
224	-2.1417790788023e-13	1.9772059588600018e-07
225	4.1102006731976997e-13	1.989995008860001e-07
226	1.21316224359977e-12	2.0022968448600011e-07
227	7.2445399590977e-13	2.0141202888599998e-07
228	-5.4944079675023e-13	2.0250218318599994e-07
229	6.4548513050977e-13	2.0364682458600015e-07
230	2.1284085819977001e-13	2.0481958678600005e-07
231	-2.6482815500023e-13	2.060068146860001e-07
232	-3.761831523223e-14	2.072505507859999e-07
233	7.6823606221977e-13	2.0833647818599995e-07
234	4.3648455055976997e-13	2.0941223868600014e-07
235	1.3543841999977001e-13	2.1053039058599992e-07
236	-4.0749595908023004e-13	2.1168535288599992e-07
237	-1.1230902087023e-13	2.128316255859998e-07
238	-9.8336547421023e-13	2.137915070860001e-07
239	1.34664813089977e-12	2.1496974778599992e-07
240	9.0513839180977e-13	2.1603581318600012e-07
241	-4.6562537881023e-13	2.1720627738599995e-07
242	-8.779388744123001e-14	2.1833633008599987e-07
243	1.74894241979977e-12	2.19497037586e-07
244	4.2730750229977e-13	2.2054680098600015e-07
245	-5.4981810245023e-13	2.2166492208599987e-07
246	-1.17111765780023e-12	2.2278879868599997e-07
247	-7.005443407623e-14	2.2397359508599984e-07
248	1.32963894659977e-12	2.251446644860002e-07
249	8.8155070013977e-13	2.2629432278600002e-07
250	-9.537164638723e-14	2.2737482298600003e-07
251	6.782109227697699e-13	2.2839215668600008e-07
252	8.1479436818977e-13	2.297309350860001e-07
253	1.0086139559976999e-13	2.3078282208600005e-07
254	4.555628305997699e-13	2.3187224798600003e-07
255	7.9362386720977e-13	2.3311878488599998e-07
256	5.3570864634977e-13	2.341814236859998e-07
257	1.9249360538997703e-12	2.3546961338599983e-07
258	9.3756842507977e-13	2.3648448478600004e-07
259	-4.9327945222023e-13	2.3765701108600022e-07
260	-1.04677595660023e-12	2.388486093860001e-07
261	-5.5882353747023e-13	2.399522751859998e-07
262	2.1938772060977e-13	2.4106511278599997e-07
263	1.5289330331997699e-12	2.421623766859998e-07
264	1.42370490839977e-12	2.434041840859999e-07
265	-1.02774757830023e-12	2.445278452860001e-07
266	2.5684930791977e-13	2.4555918288599983e-07
267	2.00541535919977e-12	2.4666631628599993e-07
268	1.6644077719977e-13	2.4779454288599994e-07
269	-1.09077832070023e-12	2.4902857368599977e-07
270	-1.6422141640022998e-13	2.500917459859999e-07
271	1.4146192289977e-13	2.5112666408600007e-07
272	2.810598825969998e-15	2.5225915848600016e-07
273	8.4702601168977e-13	2.534764563859998e-07
274	9.7975241918977e-13	2.545577978859998e-07
275	1.40504166459977e-12	2.557495911860001e-07
276	-3.531431624623e-14	2.56894550586e-07
277	-1.32474071540023e-12	2.5799019358599985e-07
278	-6.698121831323001e-14	2.591370305860001e-07
279	4.3993628913976997e-13	2.603010825859998e-07
280	5.9159857419977e-13	2.6147729198599977e-07
281	5.269125551297699e-13	2.6258686708600004e-07
282	8.5641848932977e-13	2.63747574686e-07
283	-9.034861214823e-14	2.6482913158599994e-07
284	-1.07020420620023e-12	2.65988546486e-07
285	9.9127971680977e-13	2.6713800978599986e-07
286	6.507649760497699e-13	2.6824637428600016e-07
287	-1.12385951060023e-12	2.694308423860001e-07
288	-4.1222323433023004e-13	2.7060193238600014e-07
289	-1.30574154780023e-12	2.7168697748600015e-07
290	1.3668718014977e-13	2.728238526859998e-07
291	9.1048517867977e-13	2.7387908418600015e-07
292	4.5949654676977e-13	2.74974840086e-07
293	1.5843824505977e-13	2.761911530859999e-07
294	6.621742986977e-14	2.772708119859999e-07
295	-1.05429407690023e-12	2.784219886859998e-07
296	-9.5073461694023e-13	2.796240103859998e-07
297	-3.6393297350023e-13	2.807940538859999e-07
298	5.9884771205977e-13	2.81948923886e-07
299	2.2683281399977e-13	2.830342254859998e-07
300	-2.2311761868022999e-13	2.841231178859999e-07
301	1.60656550619977e-12	2.8529669058600016e-07
302	6.6322945233977e-13	2.8646045538599984e-07
303	-3.5484477464023e-13	2.875534719859998e-07
304	7.7577487347977e-13	2.8863126378599987e-07
305	1.4342767705997699e-12	2.8976009568599986e-07
306	7.597747628676999e-14	2.9092020818599983e-07
307	3.4016205729976996e-13	2.92072944186e-07
308	6.1942182660977e-13	2.9329470488600013e-07
309	1.77098680939977e-12	2.9441711438600003e-07
310	5.5942170088977e-13	2.95551106686e-07
311	-7.7845561829023e-13	2.96745228786e-07
312	1.9012835750769996e-14	2.978442573860002e-07
313	1.1200651905976999e-13	2.9889555958599994e-07
314	-8.918493686902301e-13	3.0005739568599994e-07
315	1.01226521629977e-12	3.0120518668600006e-07
316	1.58800936859977e-12	3.0231439248599993e-07
317	-7.0986022535023e-13	3.035019486859999e-07
318	4.839034421477e-14	3.046648106860002e-07
319	6.848393318897699e-13	3.05751969186e-07
320	3.0852680022977e-13	3.069092398859998e-07
321	1.9719240866977e-13	3.08021882486e-07
322	1.63153218929977e-12	3.091769781859998e-07
323	4.0994048617976996e-13	3.102851272859998e-07
324	1.2730200519977e-13	3.113818372859998e-07
325	1.60798344539977e-12	3.12581263386e-07
326	1.29294779319977e-12	3.137400626859998e-07
327	1.5479663651977e-13	3.1484360538599994e-07
328	3.1646847660977e-13	3.1601016068599995e-07
329	9.5942051054977e-13	3.1713450928600007e-07
330	1.71682153369977e-12	3.1828841488600016e-07
331	5.546992940897699e-13	3.1940060608600004e-07
332	8.3288435071977e-13	3.205153211859999e-07
333	2.7072320355976996e-13	3.217202462859998e-07
334	1.21113331259977e-12	3.228744699860001e-07
335	9.4280688869977e-13	3.2402830378600005e-07
336	1.19578427339977e-12	3.2519880888600005e-07
337	6.310075457597699e-13	3.263772855859999e-07
338	2.1567186804977e-13	3.274794534859999e-07
339	1.6161491560977e-13	3.285656784859999e-07
340	1.33822691119977e-12	3.2964410628599993e-07
341	1.13491269319977e-12	3.3089706558599997e-07
342	8.4045115562977e-13	3.31887099186e-07
343	1.41043348479977e-12	3.331679227859999e-07
344	1.06182492819977e-12	3.3431181528599993e-07
345	-3.607501321723e-14	3.353816868859999e-07
346	3.7871539690977e-13	3.36452594686e-07
347	2.7944139939976997e-13	3.37500234286e-07
348	1.7602799325977001e-13	3.385757177859999e-07
349	9.8282320072977e-13	3.396627018860001e-07
350	1.22493052999977e-12	3.4085541848600003e-07
351	2.6621257479977e-13	3.41997423286e-07
352	9.6426828020977e-13	3.43133795786e-07
353	1.6755394219997699e-12	3.4415330438599994e-07
354	-9.766469133723e-14	3.4530914898599997e-07
355	-6.3131126468023e-13	3.4639215258599994e-07
356	1.45102792649977e-12	3.47592737986e-07
357	1.55220427499977e-12	3.4881861268600004e-07
358	2.5156702815976997e-13	3.4997816088600007e-07
359	-1.2117083630023e-13	3.510874487859999e-07
360	1.3491018350997699e-12	3.5231100488599996e-07
361	1.8501882289977e-13	3.533461486859999e-07
362	4.2207147290976996e-13	3.5456442118599993e-07
363	3.6339191712977e-13	3.5568528158599996e-07
364	-4.780678618323e-14	3.567296382859999e-07
365	7.9031818244977e-13	3.5774051888600006e-07
366	-8.226201387130002e-15	3.58992359786e-07
367	-1.2655283431230002e-14	3.6012379758600003e-07
368	1.03365479799977e-12	3.6131474948600005e-07
369	-2.7540245145023004e-13	3.624580059860001e-07
