# file_id: 12
# date: 2024-04-09
# instrument: qwe
# sample: qwe
# spring_constant: 122
# inv_ols: 23
# tip_geometry: 12
# tip_radius: 123
# sampling_rate: 23
# velocity: 2
# geometry: approach
# parameter: force
# unit: N
# value: 1.07171586320023e-12
# curve_id: 0
# file_id: 12
# date: 2024-04-09
# instrument: qwe
# sample: qwe
# spring_constant: 122.0
# inv_ols: 23.0
# tip_geometry: 12
# tip_radius: 123.0
# segment_type: approach
# sampling_rate: 23.0
# velocity: 2.0
# no_points: 2000
# Index	Z (m)	Force (N)
0	-1.07171586320023e-12	-5.613106681400037e-08
1	-1.2937054109023e-13	-5.497143651400039e-08
2	-2.1147591224022998e-13	-5.394505411400024e-08
3	-1.12201192980023e-12	-5.278251011400007e-08
4	-5.8909562557023e-13	-5.166927241400026e-08
5	4.1253537567977e-13	-5.055180791400041e-08
6	-9.3035037235023e-13	-4.9347990714000404e-08
7	1.08576436619977e-12	-4.817714701400021e-08
8	8.6675301409977e-13	-4.709622611400006e-08
9	-2.3177252454023003e-13	-4.5955729414000364e-08
10	-4.6272012494023e-13	-4.479397541400031e-08
11	4.2078133084977e-13	-4.367860381400003e-08
12	-5.8042124587023e-13	-4.2562083114000064e-08
13	1.6820924550977e-13	-4.14068028140004e-08
14	8.7156305318977e-13	-4.0332581214000105e-08
15	1.8721328151977e-13	-3.919907111400015e-08
16	-9.8268875819023e-13	-3.7943382914000345e-08
17	-1.67629347350023e-12	-3.685507531400041e-08
18	-8.9491406465023e-13	-3.576501341400024e-08
19	3.2843758702976997e-13	-3.446865731400016e-08
20	4.2167104202977e-13	-3.3416185414000187e-08
21	-3.2128890986023e-13	-3.234620101400006e-08
22	-1.35805072290023e-12	-3.1238400714000255e-08
23	-1.32980756580023e-12	-2.998533891400032e-08
24	-1.5993830297230005e-14	-2.8831915514000225e-08
25	-1.4447007168023e-13	-2.7771502914000364e-08
26	-2.7290006270023003e-13	-2.6645748914000032e-08
27	1.9045202494977e-13	-2.548024001400009e-08
28	-9.6120302438023e-13	-2.441502611400027e-08
29	4.1042854934976997e-13	-2.3188936014000332e-08
30	-4.2012109456023003e-13	-2.2028844014000166e-08
31	-9.9425256926023e-13	-2.0885361914000038e-08
32	1.0631650571976999e-13	-1.9713246014000162e-08
33	2.5386129021977e-13	-1.8598797714000386e-08
34	4.3469052282977e-13	-1.746518501400025e-08
35	5.538753923277e-14	-1.6243362814000262e-08
36	-4.1978638790023e-13	-1.51916296140001e-08
37	-5.2909063138023e-13	-1.399509661400041e-08
38	-5.2720653713023e-13	-1.2981753814000258e-08
39	6.1191709457977e-13	-1.1869736914000386e-08
40	1.5985495857997699e-12	-1.0675194214000092e-08
41	8.081916036777e-14	-9.74134051400005e-09
42	-4.5332643019023003e-13	-8.51862571400019e-09
43	5.9318812658977e-13	-7.313044014000404e-09
44	6.3688986329977e-13	-6.240925614000368e-09
45	1.2878931991977001e-13	-5.039078214000374e-09
46	-4.1397953150023e-13	-3.9595731140001294e-09
47	-1.0578406653023001e-13	-2.7729608140003116e-09
48	1.13291175589977e-12	-1.595694814000315e-09
49	6.6469485897977e-13	-4.788766140000625e-10
50	-4.2402681709023003e-13	6.596092859995812e-10
51	2.8847361095976996e-13	1.7848708859999476e-09
52	-4.4725302557023003e-13	2.917868085999703e-09
53	5.107796937697699e-13	4.128210085999827e-09
54	7.8135778068977e-13	5.176896285999841e-09
55	-5.0706571556023e-13	6.2194575859996286e-09
56	-6.9249686057023e-13	7.2604594859997094e-09
57	-1.2731118225023e-13	8.415986085999642e-09
58	1.48566580659977e-12	9.540929585999627e-09
59	6.5703190197977e-13	1.0742007585999604e-08
60	6.945252194777e-14	1.1915539185999946e-08
61	6.4418160017977e-13	1.2977685585999807e-08
62	1.8357775855977002e-13	1.4162440885999771e-08
63	-1.2593097366023e-13	1.5238775885999877e-08
64	8.050271042776999e-14	1.6288877785999934e-08
65	9.7039036942977e-13	1.750480088599973e-08
66	7.5050756288977e-13	1.8644917985999617e-08
67	-1.43903634810023e-12	1.9697923285999597e-08
68	-1.57913603920023e-12	2.0874655885999585e-08
69	1.04081386929977e-12	2.212987218599966e-08
70	1.21700832739977e-12	2.3251245485999887e-08
71	1.42998278839977e-12	2.4413368885999778e-08
72	1.1754000287997699e-12	2.5550685185999922e-08
73	8.079846940977e-14	2.6693510685999765e-08
74	-1.2949542562002301e-12	2.783792648599967e-08
75	-8.578163947702301e-13	2.891795478599995e-08
76	1.49203983869977e-12	3.0034906385999605e-08
77	7.3968010647977e-13	3.1228720685999925e-08
78	-1.13324103420023e-12	3.233048848599971e-08
79	-1.40735849200023e-12	3.3430563485999956e-08
80	-9.461825210723e-14	3.454007708599995e-08
81	1.86044720739977e-12	3.572506838599992e-08
82	5.1815054313977e-13	3.684257398599968e-08
83	-1.04996236410023e-12	3.8013202185999676e-08
84	-3.3640669718023004e-13	3.910925558599982e-08
85	1.0838560147976999e-13	4.0252624885999794e-08
86	-8.057043923502301e-13	4.142400208599986e-08
87	-1.2861592969023e-13	4.257457338599991e-08
88	1.3280518284997699e-12	4.3668708285999925e-08
89	-1.1197187997023001e-13	4.4745586985999875e-08
90	-9.9319733042023e-13	4.5846985485999684e-08
91	4.4190801568977e-13	4.688910568599981e-08
92	1.04345866059977e-12	4.806160108599963e-08
93	7.3825851597977e-13	4.9317176485999706e-08
94	-8.1809340750023e-13	5.0447516485999944e-08
95	-4.9327458376023e-13	5.1442731085999834e-08
96	8.9040156152977e-13	5.2641931585999724e-08
